VACCINATION_DATE,Race,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,thirddosedaily,thirddosecumulative,fullyvaccinated,fullyvaccinatedcumulative,firstboosterdailydose,additionaldosecumulative,fourthdailydose,secondadditionaldosecumulative
02/20/1971 10:00:00 AM,WHITE,1,1,,0,,0,,0,,0,,0,,0
06/18/1971 11:00:00 AM,WHITE,1,2,,0,,0,,0,,0,,0,,0
10/01/1971 11:00:00 AM,WHITE,1,3,,0,,0,,0,,0,,0,,0
04/27/1972 10:00:00 AM,WHITE,1,4,,0,,0,,0,,0,,0,,0
07/27/1979 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,1,,0,,0,,0,,0,,0,,0
03/22/1981 10:00:00 AM,WHITE,1,5,,0,,0,,0,,0,,0,,0
12/18/1981 10:00:00 AM,WHITE,1,6,,0,,0,,0,,0,,0,,0
04/05/1996 10:00:00 AM,WHITE,1,7,,0,,0,,0,,0,,0,,0
01/01/2000 10:00:00 AM,WHITE,1,8,,0,,0,,0,,0,,0,,0
02/09/2000 10:00:00 AM,Unknown Race,1,1,,0,,0,,0,,0,,0,,0
02/25/2000 10:00:00 AM,Other Race,1,1,,0,,0,,0,,0,,0,,0
12/18/2000 10:00:00 AM,BLACK OR AFRICAN AMERICAN,1,2,,0,,0,,0,,0,,0,,0
12/21/2000 10:00:00 AM,Other Race,1,2,,0,,0,,0,,0,,0,,0
12/23/2000 10:00:00 AM,Other Race,1,3,,0,,0,,0,,0,,0,,0
01/01/2001 10:00:00 AM,WHITE,4,12,,0,,0,,0,,0,,0,,0
01/15/2001 10:00:00 AM,WHITE,1,13,,0,,0,,0,,0,,0,,0
01/25/2001 10:00:00 AM,WHITE,1,14,,0,,0,,0,,0,,0,,0
01/26/2001 10:00:00 AM,BLACK OR AFRICAN AMERICAN,1,3,,0,,0,,0,,0,,0,,0
01/26/2001 10:00:00 AM,WHITE,1,15,,0,,0,,0,,0,,0,,0
01/27/2001 10:00:00 AM,WHITE,1,16,,0,,0,,0,,0,,0,,0
02/01/2001 10:00:00 AM,Other Race,1,4,,0,,0,,0,,0,,0,,0
02/02/2001 10:00:00 AM,WHITE,1,17,,0,,0,,0,,0,,0,,0
02/03/2001 10:00:00 AM,WHITE,1,18,,0,,0,,0,,0,,0,,0
02/14/2001 10:00:00 AM,BLACK OR AFRICAN AMERICAN,1,4,,0,,0,,0,,0,,0,,0
02/16/2001 10:00:00 AM,WHITE,,18,1,1,,0,,0,1,1,,0,,0
02/22/2001 10:00:00 AM,BLACK OR AFRICAN AMERICAN,1,5,,0,,0,,0,,0,,0,,0
02/23/2001 10:00:00 AM,WHITE,,18,1,2,,0,,0,1,2,,0,,0
02/24/2001 10:00:00 AM,WHITE,1,19,,2,,0,,0,,2,,0,,0
02/25/2001 10:00:00 AM,WHITE,1,20,,2,,0,,0,,2,,0,,0
03/01/2001 10:00:00 AM,WHITE,1,21,,2,,0,,0,,2,,0,,0
03/12/2001 10:00:00 AM,WHITE,1,22,,2,,0,,0,,2,,0,,0
03/25/2001 10:00:00 AM,WHITE,1,23,,2,,0,,0,,2,,0,,0
03/27/2001 10:00:00 AM,WHITE,1,24,,2,,0,,0,,2,,0,,0
03/30/2001 10:00:00 AM,BLACK OR AFRICAN AMERICAN,1,6,,0,,0,,0,,0,,0,,0
04/08/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,7,,0,,0,,0,,0,,0,,0
04/20/2001 11:00:00 AM,Other Race,1,5,,0,,0,,0,,0,,0,,0
04/21/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,8,,0,,0,,0,,0,,0,,0
05/24/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,9,,0,,0,,0,,0,,0,,0
05/24/2001 11:00:00 AM,WHITE,1,25,,2,,0,,0,,2,,0,,0
05/26/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,10,,0,,0,,0,,0,,0,,0
06/02/2001 11:00:00 AM,WHITE,1,26,,2,,0,,0,,2,,0,,0
06/09/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,11,,0,,0,,0,,0,,0,,0
07/21/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,12,,0,,0,,0,,0,,0,,0
08/06/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,13,,0,,0,,0,,0,,0,,0
08/25/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,14,,0,,0,,0,,0,,0,,0
09/04/2001 11:00:00 AM,WHITE,1,27,,2,,0,,0,,2,,0,,0
09/25/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,15,,0,,0,,0,,0,,0,,0
10/04/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,16,,0,,0,,0,,0,,0,,0
10/06/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,17,,0,,0,,0,,0,,0,,0
10/10/2001 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,18,,0,,0,,0,,0,,0,,0
10/31/2001 10:00:00 AM,WHITE,1,28,,2,,0,,0,,2,,0,,0
11/01/2001 10:00:00 AM,WHITE,1,29,,2,,0,,0,,2,,0,,0
12/05/2001 10:00:00 AM,BLACK OR AFRICAN AMERICAN,1,19,,0,,0,,0,,0,,0,,0
01/30/2002 10:00:00 AM,BLACK OR AFRICAN AMERICAN,1,20,,0,,0,,0,,0,,0,,0
02/09/2002 10:00:00 AM,Other Race,1,6,,0,,0,,0,,0,,0,,0
02/10/2002 10:00:00 AM,WHITE,1,30,,2,,0,,0,,2,,0,,0
02/18/2002 10:00:00 AM,BLACK OR AFRICAN AMERICAN,1,21,,0,,0,,0,,0,,0,,0
03/04/2002 10:00:00 AM,WHITE,1,31,,2,,0,,0,,2,,0,,0
03/29/2002 10:00:00 AM,Other Race,1,7,,0,,0,,0,,0,,0,,0
03/30/2002 10:00:00 AM,WHITE,1,32,,2,,0,,0,,2,,0,,0
04/10/2002 11:00:00 AM,WHITE,1,33,,2,,0,,0,,2,,0,,0
04/11/2002 11:00:00 AM,BLACK OR AFRICAN AMERICAN,1,22,,0,,0,,0,,0,,0,,0
04/11/2002 11:00:00 AM,WHITE,1,34,,2,,0,,0,,2,,0,,0
04/14/2002 11:00:00 AM,WHITE,1,35,,2,,0,,0,,2,,0,,0
08/03/2002 11:00:00 AM,WHITE,1,36,,2,,0,,0,,2,,0,,0
09/07/2002 11:00:00 AM,WHITE,1,37,,2,,0,,0,,2,,0,,0
09/25/2002 11:00:00 AM,WHITE,1,38,,2,,0,,0,,2,,0,,0
10/07/2002 11:00:00 AM,WHITE,1,39,,2,,0,,0,,2,,0,,0
10/26/2002 11:00:00 AM,WHITE,1,40,,2,,0,,0,,2,,0,,0
11/01/2002 10:00:00 AM,ASIAN,1,1,,0,,0,,0,,0,,0,,0
11/02/2002 10:00:00 AM,WHITE,1,41,,2,,0,,0,,2,,0,,0
11/04/2002 10:00:00 AM,BLACK OR AFRICAN AMERICAN,1,23,,0,,0,,0,,0,,0,,0
11/12/2002 10:00:00 AM,Unknown Race,1,2,,0,,0,,0,,0,,0,,0
11/12/2002 10:00:00 AM,WHITE,1,42,,2,,0,,0,,2,,0,,0
11/23/2002 10:00:00 AM,Unknown Race,1,3,,0,,0,,0,,0,,0,,0
12/11/2002 10:00:00 AM,WHITE,1,43,,2,,0,,0,,2,,0,,0
01/13/2004 10:00:00 AM,WHITE,1,44,,2,,0,,0,,2,,0,,0
06/14/2004 11:00:00 AM,WHITE,1,45,,2,,0,,0,,2,,0,,0
