date,race,first_dose,second_dose,third_dose,fourth_dose,total_deaths,total_vax
2021-06-30,african_american,2396,2955,2,0,3446,5353
2021-06-30,asian,331,510,1,0,325,842
2021-06-30,other,984,1322,1,0,938,2307
2021-06-30,white,1920,2679,2,0,4799,4601
2021-12-31,african_american,880,527,2175,5,3990,3587
2021-12-31,asian,259,233,1007,1,366,1500
2021-12-31,other,314,203,657,1,1030,1175
2021-12-31,white,971,655,3941,6,6043,5573
2022-06-30,african_american,389,233,544,907,4953,2073
2022-06-30,asian,152,43,150,187,454,532
2022-06-30,other,177,53,160,138,1180,528
2022-06-30,white,983,186,656,1558,7917,3383
2022-12-31,african_american,34,22,93,263,5210,412
2022-12-31,asian,25,19,35,179,487,258
2022-12-31,other,21,5,25,72,1231,123
2022-12-31,white,58,31,71,406,8734,566
2023-04-20,african_american,33,12,51,84,5389,180
2023-04-20,asian,6,5,26,14,515,51
2023-04-20,other,17,8,20,15,1259,60
2023-04-20,white,36,17,84,67,9246,204
