date,race,first_dose,second_dose,third_dose,fourth_dose,total_deaths,total_vax
2021-01-29,african_american,4699,1937,1,0,2413,6637
2021-01-29,asian,1461,618,0,0,234,2079
2021-01-29,other,1063,534,1,0,711,1598
2021-01-29,white,18307,5666,6,0,3494,23979
2021-01-30,african_american,3653,653,2,0,2420,4308
2021-01-30,asian,1227,267,0,0,239,1494
2021-01-30,other,799,192,0,0,714,991
2021-01-30,white,13002,1912,2,0,3518,14916
2021-01-31,african_american,1231,753,1,0,2426,1985
2021-01-31,asian,240,98,0,0,240,338
2021-01-31,other,246,173,0,0,715,419
2021-01-31,white,2158,803,4,0,3525,2965
2021-02-01,african_american,1690,1629,9,0,2431,3328
2021-02-01,asian,468,413,0,0,245,881
2021-02-01,other,440,324,4,0,719,768
2021-02-01,white,6460,3790,49,0,3534,10299
2021-02-02,african_american,2771,3037,0,0,2434,5808
2021-02-02,asian,717,1102,0,0,245,1819
2021-02-02,other,643,858,0,0,722,1501
2021-02-02,white,8788,9409,6,0,3546,18203
2021-02-03,african_american,4032,3344,2,0,2447,7378
2021-02-03,asian,907,1399,0,0,246,2306
2021-02-03,other,819,1078,0,0,728,1897
2021-02-03,white,12934,13399,2,0,3576,26335
2021-02-04,african_american,5461,3481,1,0,2452,8943
2021-02-04,asian,1187,1282,0,0,247,2469
2021-02-04,other,1049,943,0,0,734,1992
2021-02-04,white,14957,10913,1,0,3591,25871
2021-02-05,african_american,3955,3656,1,0,2463,7612
2021-02-05,asian,1379,1458,0,0,248,2837
2021-02-05,other,969,1145,0,0,738,2114
2021-02-05,white,14517,12455,5,0,3615,26977
2021-02-06,african_american,2663,1395,1,0,2472,4059
2021-02-06,asian,652,539,0,0,248,1191
2021-02-06,other,579,423,1,0,741,1003
2021-02-06,white,7851,4792,5,0,3641,12648
2021-02-07,african_american,1846,696,1,0,2481,2543
2021-02-07,asian,365,189,0,0,248,554
2021-02-07,other,342,263,0,0,745,605
2021-02-07,white,3541,1435,1,0,3653,4977
2021-02-08,african_american,3227,2626,0,0,2489,5853
2021-02-08,asian,707,912,1,0,248,1620
2021-02-08,other,729,748,0,0,748,1477
2021-02-08,white,8737,9105,10,0,3660,17852
2021-02-09,african_american,3597,2930,1,0,2497,6528
2021-02-09,asian,945,881,0,0,249,1826
2021-02-09,other,855,682,0,0,750,1537
2021-02-09,white,11756,9867,1,0,3679,21624
2021-02-10,african_american,4549,3570,1,0,2510,8120
2021-02-10,asian,1084,1190,0,0,249,2274
2021-02-10,other,942,957,0,0,752,1899
2021-02-10,white,13240,16093,5,0,3703,29338
2021-02-11,african_american,4872,3519,2,0,2525,8393
2021-02-11,asian,1362,1110,0,0,250,2472
2021-02-11,other,1026,880,0,0,753,1906
2021-02-11,white,16023,12473,6,0,3720,28502
2021-02-12,african_american,4683,4454,1,0,2538,9138
2021-02-12,asian,1393,1381,1,0,250,2775
2021-02-12,other,1021,1069,2,0,757,2092
2021-02-12,white,13890,13558,6,0,3737,27454
2021-02-13,african_american,2729,1041,0,0,2544,3770
2021-02-13,asian,647,451,0,0,252,1098
2021-02-13,other,561,323,0,0,755,884
2021-02-13,white,7819,4817,0,0,3749,12636
2021-02-14,african_american,1871,593,0,0,2547,2464
2021-02-14,asian,501,145,0,0,253,646
2021-02-14,other,379,139,1,0,756,519
2021-02-14,white,4461,1466,3,0,3754,5930
2021-02-15,african_american,2677,2586,5,0,2563,5268
2021-02-15,asian,582,701,0,0,257,1283
2021-02-15,other,529,684,3,0,758,1216
2021-02-15,white,8388,10281,11,0,3776,18680
